Command,3.6,4.0
$$CURRENT,No,No
$$DESCEND,Yes,Yes
$$KEEP,Yes,Yes
$$PRUNE,Yes,Yes
$$REMOVE,No,No
$$ROOT,Yes,Yes
$,Yes,Yes
$[<identifier>],Yes,Yes
$[],Yes,Yes
$abs,Yes,Yes
$add,Yes,Yes
$addFields,Yes,Yes
$addToSet,Yes,Yes
$all,Yes,Yes
$allElementsTrue,No,No
$and,Yes,Yes
$anyElementTrue,No,No
$arrayElemAt,Yes,Yes
$arrayToObject,Yes,Yes
$avg,Yes,Yes
$bit,Yes,Yes
$bitsAllClear,Yes,Yes
$bitsAllSet,Yes,Yes
$bitsAnyClear,Yes,Yes
$bitsAnySet,Yes,Yes
$box,No,No
$bucket,No,No
$bucketAuto,No,No
$ceil,No,No
$center,No,No
$centerSphere,No,No
$cmp,Yes,Yes
$collStats,No,No
$comment,Yes,Yes
$concat,Yes,Yes
$concatArrays,Yes,Yes
$cond,Yes,Yes
$convert,No,No
$count,Yes,Yes
$currentDate,Yes,Yes
$currentOp,Yes,Yes
$dateFromParts,No,No
$dateFromString,Yes,Yes
$dateToParts,No,No
$dateToString,Yes,Yes
$dayOfMonth,Yes,Yes
$dayOfWeek,Yes,Yes
$dayOfYear,Yes,Yes
$divide,Yes,Yes
$each,Yes,Yes
$elemMatch,Yes,Yes
$eq,Yes,Yes
$exists,Yes,Yes
$exp,No,No
$expr,No,No
$facet,No,No
$filter,Yes,Yes
$first,Yes,Yes
$floor,No,No
$geoIntersects,No,No
$geoNear,Yes,Yes
$geoWithin,No,No
$geometry,Yes,Yes
$graphLookup,No,No
$group,Yes,Yes
$gt,Yes,Yes
$gte,Yes,Yes
$hour,Yes,Yes
$ifNull,Yes,Yes
$in,Yes,Yes
$inc,Yes,Yes
$indexOfArray,Yes,Yes
$indexOfBytes,Yes,Yes
$indexOfCP,Yes,Yes
$indexStats,Yes,Yes
$isArray,Yes,Yes
$isoDayOfWeek,Yes,Yes
$isoWeek,Yes,Yes
$isoWeekYear,Yes,Yes
$jsonSchema,No,No
$last,Yes,Yes
$let,No,No
$limit,Yes,Yes
$listLocalSessions,No,No
$listSessions,No,No
$literal,Yes,Yes
$ln,No,No
$log,No,No
$log10,No,No
$lookup,Yes,Yes
$lt,Yes,Yes
$lte,Yes,Yes
$ltrim,No,No
$map,Yes,Yes
$match,Yes,Yes
$max,Yes,Yes
$maxDistance,Yes,Yes
$merge,No,No
$mergeObjects,No,No
$meta,No,No
$millisecond,Yes,Yes
$min,Yes,Yes
$minDistance,Yes,Yes
$minute,Yes,Yes
$mod,Yes,Yes
$month,Yes,Yes
$mul,Yes,Yes
$multiply,Yes,Yes
$natural,Yes,Yes
$ne,Yes,Yes
$near,No,No
$nearSphere,Yes,Yes
$nin,Yes,Yes
$nor,Yes,Yes
$not,Yes,Yes
$objectToArray,Yes,Yes
$or,Yes,Yes
$out,Yes,Yes
$polygon,No,No
$pop,Yes,Yes
$position,Yes,Yes
$pow,No,No
$project,Yes,Yes
$pull,Yes,Yes
$pullAll,Yes,Yes
$push,Yes,Yes
$range,Yes,Yes
$redact,Yes,Yes
$reduce,No,No
$regex,Yes,Yes
$rename,Yes,Yes
$replaceRoot,Yes,Yes
$reverseArray,Yes,Yes
$rtrim,No,No
$sample,Yes,Yes
$second,Yes,Yes
$set,Yes,Yes
$setDifference,No,No
$setEquals,Yes,Yes
$setIntersection,Yes,Yes
$setIsSubset,Yes,Yes
$setOnInsert,Yes,Yes
$setUnion,Yes,Yes
$size,Yes,Yes
$skip,Yes,Yes
$slice,Yes,Yes
$sort,Yes,Yes
$sortByCount,No,No
$split,Yes,Yes
$sqrt,No,No
$stdDevPop,No,No
$stdDevSamp,No,No
$strLenBytes,Yes,Yes
$strLenCP,Yes,Yes
$strcasecmp,Yes,Yes
$substr,Yes,Yes
$substrBytes,Yes,Yes
$substrCP,Yes,Yes
$subtract,Yes,Yes
$sum,Yes,Yes
$switch,No,No
$text,No,No
$toBool,No,No
$toDate,No,No
$toDecimal,No,No
$toDouble,No,No
$toInt,No,No
$toLong,No,No
$toLower,Yes,Yes
$toObjectId,No,No
$toString,No,No
$toUpper,Yes,Yes
$trim,No,No
$trunc,No,No
$type,Yes,Yes
$uniqueDocs,No,No
$unset,Yes,Yes
$unwind,Yes,Yes
$week,Yes,Yes
$where,No,No
$year,Yes,Yes
$zip,Yes,Yes
